country,Average Prize Pool
Canada,10177392.33
South Korea,6759035.5
Philippines,3000000
Ukraine,3000000
United States,2794535.5
China,2143855.21
Singapore,2130000
Taiwan,1565000
Japan,1348863.65
Germany,1324626.67
France,1275130
Europe,1168000
Brazil,1135000
Malaysia,1000000
Netherlands,1000000
Romania,1000000
UK,1000000
Sweden,1000000
World,1000000
Russia,1000000
United Arab Emirates,982000
Online,937232.14
Poland,881000
Saudi Arabia,850000
Maldives,764000
United Kingdom,719626
Denmark,700000
Mexico,660000
Hungary,617870
Vietnam,590000
Thailand,590000
Spain,529500
